Circuit Name,Active Spin Orbitals,Naive CX Count,Naive CX Depth,Pairwise CX Count,Pairwise CX Depth,Set CX Count,Set CX Depth,Set Compile Time
H2_BK_sto3g,4,46,44,30,30,18,16,0.0271
H2_BK_631g,8,530,519,334,294,180,172,0.134962
H4_BK_sto3g,8,1172,1140,752,559,494,432,0.113845
LiH_BK_sto3g,12,6220,6021,3670,2880,2004,1731,0.783967
NH_BK_sto3g,12,6084,5924,3666,2694,2164,1816,0.47936
CH2_BK_sto3g,14,16222,15510,9774,6844,6620,4767,1.608778
H2O_BK_sto3g,14,11426,11150,6682,4789,4045,3333,1.072789
H4_BK_631g,16,15500,15059,9200,7017,4828,4163,1.242688
H8_BK_sto3g,16,31664,30293,19444,13170,12752,8701,3.280379
NH3_BK_sto3g,16,29026,27991,17600,11848,10554,7599,2.921303
N2_BK_sto3g,20,65840,63333,37894,24740,23699,16949,8.744749
HNO_BK_sto3g,22,83550,80528,48570,31752,30626,21629,10.657954
LiH_BK_631g,22,40370,39044,23218,17385,11304,10035,3.991641
NH_BK_631g,22,120758,115255,72984,46605,46126,30171,13.635913
H2CO_BK_sto3g,24,159784,153587,94528,59930,61077,39780,21.504379
CH2_BK_631g,26,209858,197783,126764,78624,78042,50952,29.998909
H2O_BK_631g,26,275886,260785,167680,100203,110028,66220,59.15906
C2H4_BK_sto3g,28,406564,387606,245500,146635,164516,100111,106.56046
CO2_BK_sto3g,30,355346,342396,205758,124080,126965,83488,86.80207
